ID	symbol	desc	lfc	p	Cluster	Signature
5268	SERPINB5	serpin peptidase inhibitor, clade B (ovalbumin), member 5	2.522290925	0.001817494	5	bronchiolar
5275	SERPINB13	serpin peptidase inhibitor, clade B (ovalbumin), member 13	2.281770854	0.00976419	5	bronchiolar
53836	GPR87	G protein-coupled receptor 87	3.174150391	8.94e-06	5	bronchiolar
54578	UGT1A6	UDP glucuronosyltransferase 1 family, polypeptide A6	1.93072312	0.007339577	5	bronchiolar
55076	TMEM45A	transmembrane protein 45A	1.539224532	7.59e-09	5	bronchiolar
55753	OGDHL	oxoglutarate dehydrogenase-like	2.534181132	1.37e-07	5	bronchiolar
56649	TMPRSS4	transmembrane protease, serine 4	1.947572399	0.001161382	5	bronchiolar
57549	IGSF9	immunoglobulin superfamily, member 9	1.059197355	0.000102984	5	bronchiolar
6273	S100A2	S100 calcium binding protein A2	1.934666749	0.000685493	5	bronchiolar
64220	STRA6	stimulated by retinoic acid 6	1.997331711	0.000324171	5	bronchiolar
79679	VTCN1	V-set domain containing T cell activation inhibitor 1	2.199216297	0.001582307	5	bronchiolar
84951	TNS4	tensin 4	1.676940235	0.001868107	5	bronchiolar
84985	FAM83A	family with sequence similarity 83, member A	2.573956728	6.02e-05	5	bronchiolar
8581	LY6D	lymphocyte antigen 6 complex, locus D	4.113820318	4.28e-05	5	bronchiolar
8626	TP63	tumor protein p63	1.620293295	0.000288976	5	bronchiolar
90293	KLHL13	kelch-like family member 13	1.340073365	9e-07	5	bronchiolar
90523	MLIP	muscular LMNA-interacting protein	1.280159357	0.001685681	5	bronchiolar
92196	DAPL1	death associated protein-like 1	1.336283468	0.006205025	5	bronchiolar
9245	GCNT3	glucosaminyl (N-acetyl) transferase 3, mucin type	1.921386541	2.44e-07		bronchiolar
9635	CLCA2	chloride channel accessory 2	2.282170518	0.006677098	5	bronchiolar
9699	RIMS2	regulating synaptic membrane exocytosis 2	1.371957151	0.002871063	5	bronchiolar
3713	IVL	involucrin	2.376183567	0.001555191		bronchiolar
6699	SPRR1B	small proline-rich protein 1B	3.686195557	3.26e-05	6	bronchiolar
6703	SPRR2D	small proline-rich protein 2D	2.594480293	1.66e-05	6	bronchiolar
11075	STMN2	stathmin 2	1.760977221	5.58e-05	8	bronchiolar
2047	EPHB1	EPH receptor B1	1.15161824	0.000193329	8	bronchiolar
23057	NMNAT2	nicotinamide nucleotide adenylyltransferase 2	1.377651219	1.11e-07	8	bronchiolar
5099	PCDH7	protocadherin 7	1.342023388	4.72e-07	8	bronchiolar
51435	SCARA3	scavenger receptor class A, member 3	1.040104394	1.42e-12	8	bronchiolar
56963	RGMA	repulsive guidance molecule family member a	1.056743038	2.64e-05	8	bronchiolar
64093	SMOC1	SPARC related modular calcium binding 1	1.297001861	6.57e-05	8	bronchiolar
655	BMP7	bone morphogenetic protein 7	1.255668284	0.000238073		bronchiolar
7447	VSNL1	visinin-like 1	1.137045298	4.66e-07	8	bronchiolar
252995	FNDC5	fibronectin type III domain containing 5	1.103982205	1.15e-05	1	fibroid
114801	TMEM200A	transmembrane protein 200A	1.390585668	1.2e-10	2	fibroid
100130417	LOC100130417	uncharacterized LOC100130417	2.164442432	2.28e-16	3	fibroid
1009	CDH11	cadherin 11, type 2, OB-cadherin (osteoblast)	1.031308479	9.64e-06	3	fibroid
10234	LRRC17	leucine rich repeat containing 17	2.109347917	2.58e-09	3	fibroid
10446	LRRN2	leucine rich repeat neuronal 2	1.053580818	1.1e-06	3	fibroid
10631	POSTN	periostin, osteoblast specific factor	2.655918766	8.14e-14	3	fibroid
114899	C1QTNF3	C1q and tumor necrosis factor related protein 3	1.282242201	1.03e-05	3	fibroid
115908	CTHRC1	collagen triple helix repeat containing 1	3.716403585	4.08e-15	3	fibroid
1277	COL1A1	collagen, type I, alpha 1	3.166152188	3.83e-22	3	fibroid
1278	COL1A2	collagen, type I, alpha 2	2.468518873	3.01e-20	3	fibroid
1281	COL3A1	collagen, type III, alpha 1	3.294296551	1.87e-24	3	fibroid
1290	COL5A2	collagen, type V, alpha 2	1.797478078	3.84e-17	3	fibroid
132332	TMEM155	transmembrane protein 155	2.1213493	2.36e-11	3	fibroid
140689	CBLN4	cerebellin 4 precursor	3.720042968	1.99e-07	3	fibroid
158326	FREM1	FRAS1 related extracellular matrix 1	1.380716065	2.96e-08	3	fibroid
163933	FAM43B	family with sequence similarity 43, member B	2.557567698	6.16e-12	3	fibroid
170690	ADAMTS16	ADAM metallopeptidase with thrombospondin type 1 motif, 16	5.227010911	3.56e-10	3	fibroid
1734	DIO2	deiodinase, iodothyronine, type II	3.609477476	2.71e-11	3	fibroid
1740	DLG2	discs, large homolog 2 (Drosophila)	1.759272114	1.97e-10	3	fibroid
2042	EPHA3	EPH receptor A3	2.494739351	7.37e-11	3	fibroid
2191	FAP	fibroblast activation protein, alpha	2.834713039	3.94e-14	3	fibroid
2199	FBLN2	fibulin 2	2.298368349	7.15e-13	3	fibroid
221336	BEND6	BEN domain containing 6	2.068456536	8.65e-17	3	fibroid
25878	MXRA5	matrix-remodelling associated 5	2.014948257	8.58e-11	3	fibroid
25925	ZNF521	zinc finger protein 521	1.233762882	8.91e-09	3	fibroid
26002	MOXD1	monooxygenase, DBH-like 1	2.029123389	1.43e-12	3	fibroid
27319	BHLHE22	basic helix-loop-helix family, member e22	2.083754634	1.29e-09	3	fibroid
2735	GLI1	GLI family zinc finger 1	2.190638839	3.15e-15	3	fibroid
2736	GLI2	GLI family zinc finger 2	1.169669935	1.16e-08	3	fibroid
3082	HGF	hepatocyte growth factor (hepapoietin A; scatter factor)	1.004868419	3.03e-05	3	fibroid
3357	HTR2B	5-hydroxytryptamine (serotonin) receptor 2B, G protein-coupled	2.094629278	1.06e-08	3	fibroid
4016	LOXL1	lysyl oxidase-like 1	1.25810639	7.72e-10	3	fibroid
4017	LOXL2	lysyl oxidase-like 2	1.310244512	2.1e-10	3	fibroid
4060	LUM	lumican	1.91967165	1.31e-12	3	fibroid
4237	MFAP2	microfibrillar-associated protein 2	1.985960405	4.8e-12	3	fibroid
4920	ROR2	receptor tyrosine kinase-like orphan receptor 2	1.210363469	1.87e-09	3	fibroid
57482	KIAA1211	KIAA1211	1.685674022	3.84e-10	3	fibroid
57722	IGDCC4	immunoglobulin superfamily, DCC subclass, member 4	2.900209042	8.22e-14	3	fibroid
6320	CLEC11A	C-type lectin domain family 11, member A	1.396389707	1.49e-09	3	fibroid
64393	ZMAT3	zinc finger, matrin-type 3	1.236733199	3.14e-21	3	fibroid
6608	SMO	smoothened, frizzled class receptor	1.836327999	1.75e-16	3	fibroid
7058	THBS2	thrombospondin 2	2.255889388	8.48e-16	3	fibroid
7070	THY1	Thy-1 cell surface antigen	3.700766488	3.92e-17	3	fibroid
7345	UCHL1	ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)	1.060313175	0.000167218	3	fibroid
79953	SYNDIG1	synapse differentiation inducing 1	2.094869963	1.02e-12	3	fibroid
8038	ADAM12	ADAM metallopeptidase domain 12	3.362486435	1.6e-13	3	fibroid
83468	GLT8D2	glycosyltransferase 8 domain containing 2	1.412059877	7.7e-13	3	fibroid
84894	LINGO1	leucine rich repeat and Ig domain containing 1	1.154858604	3.29e-05	3	fibroid
8532	CPZ	carboxypeptidase Z	1.850938745	3.88e-06	3	fibroid
9315	NREP	neuronal regeneration related protein	1.252300011	7.75e-07	3	fibroid
9890	LPPR4	lipid phosphate phosphatase-related protein type 4	2.990616158	1.44e-11	3	fibroid
187	APLNR	apelin receptor	2.227809477	7.53e-05	7	fibroid
1306	COL15A1	collagen, type XV, alpha 1	1.710789909	2.9e-11	8	fibroid
145407	C14orf37	chromosome 14 open reading frame 37	1.49719703	2.05e-12	8	fibroid
151887	CCDC80	coiled-coil domain containing 80	2.170185407	1.03e-10	8	fibroid
2048	EPHB2	EPH receptor B2	1.386832217	7.63e-11	8	fibroid
337876	CHSY3	chondroitin sulfate synthase 3	1.241721786	5.11e-11	8	fibroid
339479	BRINP3	bone morphogenetic protein/retinoic acid inducible neural-specific 3	2.044250616	6.37e-11	8	fibroid
4325	MMP16	matrix metallopeptidase 16 (membrane-inserted)	2.998607804	8.05e-10	8	fibroid
5396	PRRX1	paired related homeobox 1	1.295298175	2.79e-08	8	fibroid
6091	ROBO1	roundabout, axon guidance receptor, homolog 1 (Drosophila)	1.094701141	3.45e-16	8	fibroid
6423	SFRP2	secreted frizzled-related protein 2	3.281511929	1.23e-11	8	fibroid
7043	TGFB3	transforming growth factor, beta 3	1.046226346	1.38e-06	8	fibroid
7373	COL14A1	collagen, type XIV, alpha 1	1.737949121	4.32e-08	8	fibroid
84216	TMEM117	transmembrane protein 117	1.012244966	8.96e-12	8	fibroid
9201	DCLK1	doublecortin-like kinase 1	1.328952804	1.02e-10	8	fibroid
10563	CXCL13	chemokine (C-X-C motif) ligand 13	2.884497025	0.000172473	4	lymphoid
11040	PIM2	Pim-2 proto-oncogene, serine/threonine kinase	1.307241211	4.2e-09	4	lymphoid
126306	JSRP1	junctional sarcoplasmic reticulum protein 1	2.560958372	1.89e-07	4	lymphoid
1380	CR2	complement component (3d/Epstein Barr virus) receptor 2	2.551288697	0.000453093	4	lymphoid
199713	NLRP7	NLR family, pyrin domain containing 7	1.195816478	0.000385221	4	lymphoid
23562	CLDN14	claudin 14	1.34637469	0.000223334	4	lymphoid
260436	FDCSP	follicular dendritic cell secreted protein	3.859250766	3.78e-05	4	lymphoid
270	AMPD1	adenosine monophosphate deaminase 1	2.133003589	1.52e-05	4	lymphoid
29802	VPREB3	pre-B lymphocyte 3	1.432159069	0.004232509	4	lymphoid
3512	IGJ	immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides	1.935564711	1.8e-07	4	lymphoid
3543	IGLL1	immunoglobulin lambda-like polypeptide 1	1.342816055	0.002158254		lymphoid
51237	MZB1	marginal zone B and B1 cell-specific protein	1.973436053	1.43e-06	4	lymphoid
5368	PNOC	prepronociceptin	1.702529956	3.97e-06	4	lymphoid
5450	POU2AF1	POU class 2 associating factor 1	1.541136723	2.98e-06	4	lymphoid
54900	LAX1	lymphocyte transmembrane adaptor 1	1.371622087	4.91e-08	4	lymphoid
57699	CPNE5	copine V	1.174627921	1.02e-05	4	lymphoid
608	TNFRSF17	tumor necrosis factor receptor superfamily, member 17	1.148225491	0.002059077	4	lymphoid
640	BLK	BLK proto-oncogene, Src family tyrosine kinase	1.202122279	0.001286257	4	lymphoid
645784	ANKRD36BP2	ankyrin repeat domain 36B pseudogene 2	2.265524777	3.43e-08	4	lymphoid
6518	SLC2A5	solute carrier family 2 (facilitated glucose/fructose transporter), member 5	1.255507646	1.76e-07	4	lymphoid
6676	SPAG4	sperm associated antigen 4	1.127343659	0.000123926	4	lymphoid
6689	SPIB	Spi-B transcription factor (Spi-1/PU.1 related)	1.732910412	2.77e-05	4	lymphoid
81793	TLR10	toll-like receptor 10	1.141020207	0.001119532	4	lymphoid
83416	FCRL5	Fc receptor-like 5	1.701783982	4.5e-06	4	lymphoid
84824	FCRLA	Fc receptor-like A	1.941698105	0.000159289	4	lymphoid
8784	TNFRSF18	tumor necrosis factor receptor superfamily, member 18	1.33185127	7.78e-09	4	lymphoid
91319	DERL3	derlin 3	1.806828735	4.3e-07	4	lymphoid
930	CD19	CD19 molecule	1.475080112	0.000153243	4	lymphoid
939	CD27	CD27 molecule	1.161636855	2.68e-06	4	lymphoid
9447	AIM2	absent in melanoma 2	1.037061164	1.31e-05	4	lymphoid
96610	BMS1P20	BMS1 pseudogene 20	1.37268139	8.38e-05	4	lymphoid
973	CD79A	CD79a molecule, immunoglobulin-associated alpha	1.699877352	0.000122866	4	lymphoid
974	CD79B	CD79b molecule, immunoglobulin-associated beta	1.083047248	4.95e-05	4	lymphoid
9834	KIAA0125	KIAA0125	1.428371662	5.76e-06	4	lymphoid
29993	PACSIN1	protein kinase C and casein kinase substrate in neurons 1	1.57639997	3.12e-09		lymphoid
10800	CYSLTR1	cysteinyl leukotriene receptor 1	1.155064321	4.76e-07	7	lymphoid
201633	TIGIT	T cell immunoreceptor with Ig and ITIM domains	1.058614126	4.16e-05	7	lymphoid
27240	SIT1	signaling threshold regulating transmembrane adaptor 1	1.074158343	7.26e-05	7	lymphoid
647121	EMBP1	embigin pseudogene 1	1.481473095	2.93e-08		lymphoid
940	CD28	CD28 molecule	1.220283423	2.5e-07	7	lymphoid
100500808	MIR3917	microRNA 3917	1.002414067	1.81e-10	1	
100861519	GDNF-AS1	GDNF antisense RNA 1 (head to head)	1.587500246	3.25e-05	1	
100874530	APOBEC3B-AS1	APOBEC3B antisense RNA 1	1.056367169	0.000110368		
10112	KIF20A	kinesin family member 20A	1.462979372	1.43e-09	1	
10117	ENAM	enamelin	1.188968198	1.06e-05	1	
101927813	HMMR-AS1	HMMR antisense RNA 1	1.220712983	9.18e-05	1	
101928172	LOC101928172	uncharacterized LOC101928172	1.586002608	2.51e-05		
102723602	LOC102723602	uncharacterized LOC102723602	1.149036892	6.33e-07	1	
10403	NDC80	NDC80 kinetochore complex component	1.103874127	8.27e-10	1	
1041	CDSN		1.050351114	0.000253519	1	
1058	CENPA	centromere protein A	1.298784638	4.9e-08	1	
1062	CENPE	centromere protein E, 312kDa	1.060254561	4.07e-09	1	
1063	CENPF	centromere protein F, 350/400kDa	1.297935941	1.12e-09	1	
119548	PNLIPRP3	pancreatic lipase-related protein 3	1.708187373	0.002078988		
121601	ANO4	anoctamin 4	3.005244217	2.26e-10	1	
128239	IQGAP3	IQ motif containing GTPase activating protein 3	1.015431841	0.000120634	1	
146909	KIF18B	kinesin family member 18B	1.211103423	7e-07	1	
150468	CKAP2L	cytoskeleton associated protein 2-like	1.211105554	5.56e-08	1	
1515	CTSV	cathepsin V	1.058199267	0.000153016		
151648	SGOL1	shugoshin-like 1 (S. pombe)	1.069985565	1.52e-09	1	
1557	CYP2C19	cytochrome P450, family 2, subfamily C, polypeptide 19	1.193820018	0.004851665		
1559	CYP2C9	cytochrome P450, family 2, subfamily C, polypeptide 9	1.724905106	4.27e-06	1	
157313	CDCA2	cell division cycle associated 2	1.151827252	5.89e-09	1	
157570	ESCO2	establishment of sister chromatid cohesion N-acetyltransferase 2	1.597150817	2.13e-10	1	
221150	SKA3	spindle and kinetochore associated complex subunit 3	1.029423822	2.41e-05	1	
22974	TPX2	TPX2, microtubule-associated	1.363426465	7.12e-10	1	
2305	FOXM1	forkhead box M1	1.005764714	3.42e-06	1	
23397	NCAPH	non-SMC condensin I complex, subunit H	1.139841253	1.92e-10	1	
24137	KIF4A	kinesin family member 4A	1.539880988	6.85e-12	1	
255180	GOLGA2P11	golgin A2 pseudogene 11	2.02983274	1.14e-07	1	
255631	COL24A1	collagen, type XXIV, alpha 1	1.394513289	3.34e-06		
259266	ASPM	asp (abnormal spindle) homolog, microcephaly associated (Drosophila)	1.336090383	8.74e-10	1	
284600	LOC284600	uncharacterized LOC284600	2.511032638	2.67e-08	1	
29128	UHRF1	ubiquitin-like with PHD and ring finger domains 1	1.0697553	1.33e-09	1	
3161	HMMR	hyaluronan-mediated motility receptor (RHAMM)	1.220978136	7.63e-09	1	
332	BIRC5	baculoviral IAP repeat containing 5	1.159615765	1.03e-06	1	
339766	MROH2A	maestro heat-like repeat family member 2A	2.380733059	2e-07	1	
340895	MALRD1	MAM and LDL receptor class A domain containing 1	1.578107716	7.35e-12	1	
374393	FAM111B	family with sequence similarity 111, member B	1.503111667	1.24e-10	1	
3832	KIF11	kinesin family member 11	1.053171703	1.57e-10	1	
403150	FLJ31356	uncharacterized protein FLJ31356	1.064555646	8.55e-05		
4288	MKI67	marker of proliferation Ki-67	1.391562476	7.76e-10	1	
440508	CLEC4GP1	C-type lectin domain family 4, member G pseudogene 1	1.696055737	3.35e-05		
440602	LOC440602	uncharacterized LOC440602	1.436553753	0.000871367		
51203	NUSAP1	nucleolar and spindle associated protein 1	1.064576692	8.51e-09	1	
51512	GTSE1	G-2 and S-phase expressed 1	1.334688185	2.91e-09	1	
54443	ANLN	anillin, actin binding protein	1.361694167	3.92e-07	1	
54456	MOV10L1	Mov10 RISC complex RNA helicase like 1	1.144960354	1.28e-06	1	
54478	FAM64A	family with sequence similarity 64, member A	1.470009688	6.01e-07	1	
55165	CEP55	centrosomal protein 55kDa	1.674908322	1.33e-13	1	
55247	NEIL3	nei endonuclease VIII-like 3 (E. coli)	1.232726315	7.71e-06	1	
55355	HJURP	Holliday junction recognition protein	1.059424718	1.62e-05	1	
55388	MCM10	minichromosome maintenance complex component 10	1.091864747	7.57e-07	1	
55635	DEPDC1	DEP domain containing 1	1.508583202	3.58e-08	1	
55789	DEPDC1B	DEP domain containing 1B	1.24074018	8.76e-09	1	
55872	PBK	PDZ binding kinase	1.494562801	1.41e-06	1	
56169	GSDMC	gasdermin C	1.924640145	1.08e-11	1	
57082	CASC5	cancer susceptibility candidate 5	1.100552078	1.76e-06	1	
5888	RAD51	RAD51 recombinase	1.061443429	1.01e-08	1	
59272	ACE2	angiotensin I converting enzyme 2	1.045516703	0.000113954		
6241	RRM2	ribonucleotide reductase M2	1.29530542	2.42e-07	1	
63967	CLSPN	claspin	1.056505546	1.11e-08	1	
64137	ABCG4	ATP-binding cassette, sub-family G (WHITE), member 4	1.499913721	1.99e-08	1	
642938	FAM196A	family with sequence similarity 196, member A	1.445847837	1.99e-05	1	
642946	FLVCR1-AS1	FLVCR1 antisense RNA 1 (head to head)	1.04259343	5.52e-05		
643160	CYMP	chymosin pseudogene	1.207520017	0.006954158		
644945	KRT16P3	keratin 16 pseudogene 3	1.866741276	6.07e-05		
64714	PDIA2	protein disulfide isomerase family A, member 2	1.451378374	4.9e-06		
6783	SULT1E1	sulfotransferase family 1E, estrogen-preferring, member 1	1.42928996	4.1e-05	1	
701	BUB1B	BUB1 mitotic checkpoint serine/threonine kinase B	1.232736526	1.72e-07	1	
7153	TOP2A	topoisomerase (DNA) II alpha 170kDa	1.449669665	3.58e-10	1	
730198	MEIS1-AS3	MEIS1 antisense RNA 3	1.229411689	0.000607262		
79801	SHCBP1	SHC SH2-domain binding protein 1	1.062986625	1.32e-07	1	
83876	MRO	maestro	1.204518476	1.58e-05		
83990	BRIP1	BRCA1 interacting protein C-terminal helicase 1	1.080856073	8.32e-13	1	
84057	MND1	meiotic nuclear divisions 1 homolog (S. cerevisiae)	1.329502805	1.05e-07	1	
9133	CCNB2	cyclin B2	1.429444406	9.98e-11	1	
91353	IGLL3P	immunoglobulin lambda-like polypeptide 3, pseudogene	1.760212947	0.000299393		
9156	EXO1	exonuclease 1	1.220461397	1.04e-08	1	
93429	DKFZp434J0226	uncharacterized LOC93429	1.830587489	1.4e-05	1	
9582	APOBEC3B	apolipoprotein B mRNA editing enzyme, catalytic polypeptide-like 3B	1.097124075	2.68e-07	1	
9768	KIAA0101	KIAA0101	1.245813839	7e-10	1	
9787	DLGAP5	discs, large (Drosophila) homolog-associated protein 5	1.623052567	1.38e-09	1	
9833	MELK	maternal embryonic leucine zipper kinase	1.235734639	3.02e-09	1	
9837	GINS1	GINS complex subunit 1 (Psf1 homolog)	1.018216506	7.59e-12	1	
9928	KIF14	kinesin family member 14	1.30665806	9.23e-08	1	
993	CDC25A	cell division cycle 25A	1.094017857	6.04e-13	1	
995	CDC25C	cell division cycle 25C	1.185127338	4.67e-08	1	
100131897	FAM196B	family with sequence similarity 196, member B	1.391830909	1.12e-05		
100134391	LOC100134391	uncharacterized LOC100134391	1.60178637	2.8e-05		
100422943	MIR3189	microRNA 3189	1.421520883	4.4e-05		
100873962	LINC00278	long intergenic non-protein coding RNA 278	1.458572847	2.01e-06		
100885789	IFNG-AS1	IFNG antisense RNA 1	1.713033694	2.25e-05		
101928646	ARNTL2-AS1	ARNTL2 antisense RNA 1	1.262262482	2.32e-06		
101929319	LOC101929319	uncharacterized LOC101929319	1.408687445	8.58e-06	2	
102524628	RASGRF2-AS1	RASGRF2 antisense RNA 1	1.422666415	2.65e-06	2	
102723959	LOC102723959	proline-rich receptor-like protein kinase PERK2-like	1.053889178	0.000172322		
102724850	LOC102724850	uncharacterized LOC102724850	1.03369185	6.46e-05		
102725320	LOC102725320	mucin-3A-like	1.151412616	6.17e-06		
10537	UBD		2.059688687	1.95e-07	2	
10911	UTS2	urotensin 2	1.287242815	0.001635649		
10990	LILRB5	leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 5	1.025345399	3.52e-06		
114787	GPRIN1	G protein regulated inducer of neurite outgrowth 1	1.030004038	5.7e-13	2	
1164	CKS2	CDC28 protein kinase regulatory subunit 2	1.00504697	1.42e-08		
121256	TMEM132D		2.817711338	1.68e-08		
145741	C2CD4A	C2 calcium-dependent domain containing 4A	2.07572881	1.44e-08	2	
148811	PM20D1	peptidase M20 domain containing 1	1.258807908	0.002914217		
152519	NIPAL1	NIPA-like domain containing 1	1.138761035	0.002644722		
154790	CLEC2L	C-type lectin domain family 2, member L	1.944285531	0.000104996		
160728	SLC5A8	solute carrier family 5 (sodium/monocarboxylate cotransporter), member 8	1.856369327	7.39e-06		
1827	RCAN1	regulator of calcineurin 1	1.048707437	1.77e-10	2	
1960	EGR3	early growth response 3	2.077533593	3.23e-08	2	
2069	EREG	epiregulin	1.355762987	0.003679805		
221468	TMEM217	transmembrane protein 217	1.146210492	1.84e-14	2	
2252	FGF7	fibroblast growth factor 7	1.058503667	0.000542917	2	
2262	GPC5		1.013409795	1.04e-05		
22943	DKK1	dickkopf WNT signaling pathway inhibitor 1	1.890622395	3.88e-10	2	
2354	FOSB	FBJ murine osteosarcoma viral oncogene homolog B	2.21834364	8.3e-05		
261729	STEAP2	STEAP family member 2, metalloreductase	1.44668657	2.87e-11	2	
2669	GEM	GTP binding protein overexpressed in skeletal muscle	1.786395847	6.31e-20	2	
284656	EPHA10	EPH receptor A10	2.330813132	5.04e-19	2	
3036	HAS1	hyaluronan synthase 1	1.589155307	0.001062844	2	
3037	HAS2	hyaluronan synthase 2	2.37749559	1.06e-06	2	
340273	ABCB5	ATP-binding cassette, sub-family B (MDR/TAP), member 5	1.694497485	1.35e-06		
346171	ZFP57	ZFP57 zinc finger protein	3.048125692	3.41e-06		
3491	CYR61	cysteine-rich, angiogenic inducer, 61	1.296277052	1.68e-06	2	
3557	IL1RN	interleukin 1 receptor antagonist	1.310350718	3.1e-06	2	
3589	IL11	interleukin 11	2.878880534	2.2e-12	2	
3604	TNFRSF9	tumor necrosis factor receptor superfamily, member 9	1.031054434	0.00012315	2	
3627	CXCL10	chemokine (C-X-C motif) ligand 10	1.110743208	0.0098579		
3694	ITGB6	integrin, beta 6	1.594045744	2.85e-16	2	
3738	KCNA3	potassium voltage-gated channel, shaker-related subfamily, member 3	1.113522157	6.23e-06	2	
374	AREG	amphiregulin	2.019179617	9.69e-06		
388125	C2CD4B	C2 calcium-dependent domain containing 4B	1.370801077	3.6e-05	2	
388282	LOC388282	uncharacterized LOC388282	1.019276247	2.17e-05		
3976	LIF	leukemia inhibitory factor	1.47969329	0.000144486	2	
399473	SPRED3	sprouty-related, EVH1 domain containing 3	1.07319061	8.26e-06	2	
399668	LINC00086	long intergenic non-protein coding RNA 86	1.408684459	1.58e-13	2	
400578	KRT16P2	keratin 16 pseudogene 2	2.829849233	7.69e-08		
401613	LINC00890	long intergenic non-protein coding RNA 890	2.749946687	6.27e-05		
440699	LRRC52	leucine rich repeat containing 52	1.289468226	0.002038356		
4606	MYBPC2	myosin binding protein C, fast type	2.019823547	4.9e-07	2	
4608	MYBPH	myosin binding protein H	1.820915052	2.1e-08	2	
467	ATF3	activating transcription factor 3	1.195789685	2.13e-05	2	
493913	PAPPA-AS1	PAPPA antisense RNA 1	1.637814154	1.89e-07	2	
5008	OSM	oncostatin M	1.372261465	0.000231421	2	
5069	PAPPA	pregnancy-associated plasma protein A, pappalysin 1	1.643563837	1.37e-07	2	
5625	PRODH	proline dehydrogenase (oxidase) 1	2.008535433	0.006219403		
5646	PRSS3	protease, serine, 3	1.077460277	0.001385078		
56675	NRIP3	nuclear receptor interacting protein 3	1.062534943	2.09e-08	2	
56938	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like 2	1.360205238	2.22e-14	2	
5743	PTGS2	prostaglandin-endoperoxide synthase 2 (prostaglandin G/H synthase and cyclooxygenase)	1.825448108	1.41e-08	2	
57624	NYAP2	neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adaptor 2	1.866875387	3.07e-07	2	
57689	LRRC4C	leucine rich repeat containing 4C	1.544397292	2.84e-07	2	
5874	RAB27B	RAB27B, member RAS oncogene family	1.121309448	1.92e-09	2	
5924	RASGRF2	Ras protein-specific guanine nucleotide-releasing factor 2	1.024433438	2.41e-07	2	
594842	HAS2-AS1	HAS2 antisense RNA 1	1.667485773	5.97e-06	2	
5996	RGS1	regulator of G-protein signaling 1	1.266778854	5.05e-05		
5999	RGS4	regulator of G-protein signaling 4	2.008935108	4.35e-07	2	
60401	EDA2R	ectodysplasin A2 receptor	1.452527854	6.86e-15	2	
623	BDKRB1	bradykinin receptor B1	1.867430442	3.61e-06	2	
